Municipio,Año,Código,Concepto,Aprobado,Devengado,Observaciones
Atizapan de Zaragoza,2021,COG22,Alimentos y Utensilios,4625749.84,4461567.62,x
Atizapan de Zaragoza,2021,COG23,Materias Primas y Materiales de Producción y Comercialización,48611.00,9836.14,x
Atizapan de Zaragoza,2021,COG24,Materiales y Artículos de Construcción y Reparación,22084539.90,19475118.53,x
Atizapan de Zaragoza,2021,COG25,"Productos Químicos, Farmacéuticos y de Laboratorio",2214077.00,8331042.12,x
Atizapan de Zaragoza,2021,COG26,"Combustibles, Lubricantes y Aditivos",71004676.15,61728996.21,x
Atizapan de Zaragoza,2021,COG27,"Vestuarios, Blancos, Prendas de protección y Artículos Deportivos",4837630.00,3118205.03,x
Atizapan de Zaragoza,2021,COG28,Materiales y Suministros para Seguridad,1431.00,3049.00,x
Atizapan de Zaragoza,2021,COG29,"Herramientas, Refacciones y Accesorios Menores",6051848.56,3387753.97,x
Atizapan de Zaragoza,2021,COG03,Servicios Generales,563405308.10,603742870.20,x
Atizapan de Zaragoza,2021,COG31,Servicios Básicos,16581546.14,54793192.67,x
Atizapan de Zaragoza,2021,COG32,Servicios de Arrendamiento,98886088.00,99250984.99,x
Atizapan de Zaragoza,2021,COG33,"Servicios Profesionales, Científicos, Técnicos y Otros Servicios",165776689.50,159208548.10,x
Atizapan de Zaragoza,2021,COG34,"Servicios Financieros, Bancarios y Comerciales",96697541.00,112242732.70,x
Atizapan de Zaragoza,2021,COG35,"Servicios de Instalación, Reparación, Mantenimiento y Conservación",84680500.25,78301017.82,x
Atizapan de Zaragoza,2021,COG36,Servicios de Comunicación Social y Publicidad,10397071.80,7105004.10,x
Atizapan de Zaragoza,2021,COG37,Servicios de Traslados y Viáticos,1279467.00,773357.61,x
Atizapan de Zaragoza,2021,COG38,Servicios Oficiales,7884527.00,28972069.18,x
Atizapan de Zaragoza,2021,COG39,Otros Servicios Generales,81221877.42,63095963.03,x
Atizapan de Zaragoza,2021,COG04,"Transferencias, Asignaciones, Subsidios y Otras Ayudas",694474028.60,587205946.20,x
Atizapan de Zaragoza,2021,COG41,Transferencias Internas y Asignaciones del Sector Público,0.00,0.00,x
Atizapan de Zaragoza,2021,COG42,Transferencias al Resto del Sector Público,0.00,0.00,x
Atizapan de Zaragoza,2021,COG43,Subsidios y Subvenciones,568436972.10,454513296.90,x
Atizapan de Zaragoza,2021,COG44,Ayudas Sociales,125070816.60,131726406.30,x
Atizapan de Zaragoza,2021,COG45,Pensiones y Jubilaciones,0.00,0.00,x
Atizapan de Zaragoza,2021,COG46,"Transferencias a Fideicomisos, Mandatos y Otros Análogos",966240.00,966243.00,x
Atizapan de Zaragoza,2021,COG47,Transferencias a la Seguridad Social,0.00,0.00,x
Atizapan de Zaragoza,2021,COG48,Donativos,0.00,0.00,x
Atizapan de Zaragoza,2021,COG49,Transferencias al Exterior,0.00,0.00,x
Atizapan de Zaragoza,2021,COG05,"Bienes Muebles, Inmuebles e Intangibles",8897520.80,59531981.26,x
Atizapan de Zaragoza,2021,COG51,Mobiliario y Equipo de Administración,4376932.80,12204322.22,x
Atizapan de Zaragoza,2021,COG52,Mobiliario y Equipo Educacional y Recreativo,340880.00,17686.26,x
Atizapan de Zaragoza,2021,COG53,Equipo e Instrumental Médico y de Laboratorio,50000.00,0.00,x
Atizapan de Zaragoza,2021,COG54,Vehículos y Equipo de Transporte,1750208.00,1739994.20,x
Atizapan de Zaragoza,2021,COG55,Equipo de Defensa y Seguridad,0.00,0.00,x
